Jurusan,Kategori,Deskripsi,Skills,Karier,URL,combined
Ilmu Ekonomi,Ekonomi & Bisnis,"Tahukah Quipperian, jika Maudy Ayunda dan Gita Gutawa adalah lulusan jurusan Ilmu Ekonomi? Apa saja ya yang mereka pelajari selama kuliah? Jika Quipperian ingin belajar Ilmu Ekonomi, kalian akan fokus pada upaya pengalokasian sumber daya yang terbatas dan memperoleh keuntungan optimal. Selain itu, kamu juga akan mengeksplorasi upaya pemberdayaan ekonomi. Dewasa ini, tren pembelajaran Ilmu Ekonomi mulai banyak yang mengarah pada behavioral economics lho. Selain itu, mulai berkembang pula crime economics, jadi kamu bisa melakukan analisis terhadap permasalahan hukum yang ditinjau dari sisi ekonomi. Menarik kan?","Kemampuan matematika, Kemampuan observasi terhadap masalah sosial-ekonomi, Kemampuan berpikir logis dan terstruktur, Kemampuan berpikir kritis, Kemampuan menganalisis, Kemampuan menyelesaikan persoalan","Makelar Saham (Broker Saham), Bagian Penjualan (Sales) di Lembaga Keuangan, Pegawai Bank (Account Officer), Akuntan, Pegawai Asuransi, Bagian Perencanaan dan Pengembangan Real Estate, Market Researcher, Marketing Produk Otomotif, Dosen",https://campus.quipper.com/majors/id-ilmu-ekonomi,"Ilmu Ekonomi Ekonomi & Bisnis Kemampuan matematika, Kemampuan observasi terhadap masalah sosial-ekonomi, Kemampuan berpikir logis dan terstruktur, Kemampuan berpikir kritis, Kemampuan menganalisis, Kemampuan menyelesaikan persoalan Makelar Saham (Broker Saham), Bagian Penjualan (Sales) di Lembaga Keuangan, Pegawai Bank (Account Officer), Akuntan, Pegawai Asuransi, Bagian Perencanaan dan Pengembangan Real Estate, Market Researcher, Marketing Produk Otomotif, Dosen Tahukah Quipperian, jika Maudy Ayunda dan Gita Gutawa adalah lulusan jurusan Ilmu Ekonomi? Apa saja ya yang mereka pelajari selama kuliah? Jika Quipperian ingin belajar Ilmu Ekonomi, kalian akan fokus pada upaya pengalokasian sumber daya yang terbatas dan memperoleh keuntungan optimal. Selain itu, kamu juga akan mengeksplorasi upaya pemberdayaan ekonomi. Dewasa ini, tren pembelajaran Ilmu Ekonomi mulai banyak yang mengarah pada behavioral economics lho. Selain itu, mulai berkembang pula crime economics, jadi kamu bisa melakukan analisis terhadap permasalahan hukum yang ditinjau dari sisi ekonomi. Menarik kan?"
Manajemen,Ekonomi & Bisnis,"Jurusan Manajemen merupakan bidang keilmuan yang mempelajari tentang kegiatan perusahaan atau korporasi, yang masih memiliki keterkaitan dengan ilmu ekonomi dan bisnis. Jika Quipperian mendalami Ilmu Manajemen maka akan belajar menjadi seorang “pengendali” layaknya tokoh Aang pada serial Avatar. Jika Aang mengendalikan elemen bumi, kamu akan mengendalikan roda perusahaan berupa kegiatan yang meliputi kebijakan manajemen perusahaan, organisasi, strategi bisnis, ketenagakerjaan dan kepegawaian, manajemen produksi, pemasaran, administrasi, hingga organisasi nirlaba.","Kemampuan mengatur manusia, Kemampuan mengelola keuangan, Kemampuan berkomunikasi, Kemampuan bersosialisasi, Kemampuan manajerial, Kemampuan menganalisis, Sikap kepemimpinan","Bagian Penjualan (Sales), Pegawai Bank (Account Officer), Bagian Operasional dan Logistik, Product Manager, Pegawai Asuransi, Market Researcher, Produser TV atau Radio, Event Planner/Event Organizer, Dosen, Wirausaha (Entrepreuner)",https://campus.quipper.com/majors/id-manajemen,"Manajemen Ekonomi & Bisnis Kemampuan mengatur manusia, Kemampuan mengelola keuangan, Kemampuan berkomunikasi, Kemampuan bersosialisasi, Kemampuan manajerial, Kemampuan menganalisis, Sikap kepemimpinan Bagian Penjualan (Sales), Pegawai Bank (Account Officer), Bagian Operasional dan Logistik, Product Manager, Pegawai Asuransi, Market Researcher, Produser TV atau Radio, Event Planner/Event Organizer, Dosen, Wirausaha (Entrepreuner) Jurusan Manajemen merupakan bidang keilmuan yang mempelajari tentang kegiatan perusahaan atau korporasi, yang masih memiliki keterkaitan dengan ilmu ekonomi dan bisnis. Jika Quipperian mendalami Ilmu Manajemen maka akan belajar menjadi seorang “pengendali” layaknya tokoh Aang pada serial Avatar. Jika Aang mengendalikan elemen bumi, kamu akan mengendalikan roda perusahaan berupa kegiatan yang meliputi kebijakan manajemen perusahaan, organisasi, strategi bisnis, ketenagakerjaan dan kepegawaian, manajemen produksi, pemasaran, administrasi, hingga organisasi nirlaba."
Perbankan,Ekonomi & Bisnis,"Quipperian yang suka nabung pasti nggak aneh lagi dengan Bank dan dunia perbankan. Perbankan merupakan bidang studi yang fokus pada dunia keuangan, seperti bank, asuransi, lembaga simpan pinjam, pasar modal serta transaksi yang terjadi di dalamnya. Selain itu, Quipperian juga akan belajar gimana caranya memaksimalkan fungsi lembaga perantara bagi pihak yang membutuhkan dan pihak yang kelebihan dana.","Kemampuan komunikasi, Kemampuan manajerial, Kemampuan meneliti, Kemampuan melakukan analisis, Kemampuan bekerja dalam tim, Detil, teliti, dan tekun","Makelar Saham (Broker Saham), Bagian Penjualan (Sales) di Lembaga Keuangan, Pegawai Bank (Account Officer), Akuntan, Bagian Personalia (HRD), Pegawai Asuransi, Bagian Penjualan dan Pelayanan (Customer Service), Dosen, Bagian Keuangan (Finance), System Analyst",https://campus.quipper.com/majors/id-perbankan,"Perbankan Ekonomi & Bisnis Kemampuan komunikasi, Kemampuan manajerial, Kemampuan meneliti, Kemampuan melakukan analisis, Kemampuan bekerja dalam tim, Detil, teliti, dan tekun Makelar Saham (Broker Saham), Bagian Penjualan (Sales) di Lembaga Keuangan, Pegawai Bank (Account Officer), Akuntan, Bagian Personalia (HRD), Pegawai Asuransi, Bagian Penjualan dan Pelayanan (Customer Service), Dosen, Bagian Keuangan (Finance), System Analyst Quipperian yang suka nabung pasti nggak aneh lagi dengan Bank dan dunia perbankan. Perbankan merupakan bidang studi yang fokus pada dunia keuangan, seperti bank, asuransi, lembaga simpan pinjam, pasar modal serta transaksi yang terjadi di dalamnya. Selain itu, Quipperian juga akan belajar gimana caranya memaksimalkan fungsi lembaga perantara bagi pihak yang membutuhkan dan pihak yang kelebihan dana."
Akuntansi,Ekonomi & Bisnis,Quipperian pasti sudah nggak asing dengan Jurusan Akuntansi. Jurusan Akuntansi adalah bidang studi yang mempelajari materi terkait metode pencatatan dan penyusunan laporan keuangan yang berguna membantu pemangku kepentingan dalam proses pengambilan keputusan.,"Kemampuan mengelola keuangan, Kemampuan mengevaluasi anggaran, Kemampuan menyajikan laporan keuangan, Kemampuan menilai laporan keuangan, Kemampuan menginterpretasikan angka, Kemampuan menganalisis, Kemampuan membuat rekomendasi, Teliti dalam menghitung","Makelar Saham (Broker Saham), Pegawai Bank (Account Officer), Akuntan, Bagian Personalia (HRD), Konsultan Pajak, Pegawai Asuransi, Dosen, Bagian Keuangan (Finance), Auditor",https://campus.quipper.com/majors/id-akuntansi,"Akuntansi Ekonomi & Bisnis Kemampuan mengelola keuangan, Kemampuan mengevaluasi anggaran, Kemampuan menyajikan laporan keuangan, Kemampuan menilai laporan keuangan, Kemampuan menginterpretasikan angka, Kemampuan menganalisis, Kemampuan membuat rekomendasi, Teliti dalam menghitung Makelar Saham (Broker Saham), Pegawai Bank (Account Officer), Akuntan, Bagian Personalia (HRD), Konsultan Pajak, Pegawai Asuransi, Dosen, Bagian Keuangan (Finance), Auditor Quipperian pasti sudah nggak asing dengan Jurusan Akuntansi. Jurusan Akuntansi adalah bidang studi yang mempelajari materi terkait metode pencatatan dan penyusunan laporan keuangan yang berguna membantu pemangku kepentingan dalam proses pengambilan keputusan."
Bisnis,Ekonomi & Bisnis,"Beberapa tahun belakangan, Jurusan Bisnis menjadi salah satu jurusan favorit di berbagai kampus di Indonesia. Jurusan ini cocok banget untuk kamu yang memiliki visi menjadi seorang pengusaha muda. Bisnis merupakan bidang ilmu yang mempelajari bagaimana melakukan pemasaran produk, pembukuan dan pengelolaan keuangan serta hal-hal terkait keberlanjutan dari suatu usaha. Bidang ini membantu memahami kebutuhan pelanggan dan mengkomersialisasikannya. Jadi, bisa dibilang bidang ini merupakan kombinasi dari Manajemen dan Akuntansi.","Kemampuan manajerial, Kemampuan komunikasi, Kemampuan negosiasi, Kemampuan melakukan observasi, Kemampuan melakukan analisis, Kemampuan meneliti","Bagian Penjualan (Sales), Makelar Saham (Broker Saham), Product Manager, Pegawai Asuransi, Bagian Penjualan dan Pelayanan (Customer Service), Bagian Perencanaan dan Pengembangan Real Estate, Agen Properti, Market Researcher, Sales Wedding Organizer, Event Planner/Event Organizer, Digital Marketing, Telemarketer, Wirausaha (Entrepreuner), Aktuaris",https://campus.quipper.com/majors/id-bisnis,"Bisnis Ekonomi & Bisnis Kemampuan manajerial, Kemampuan komunikasi, Kemampuan negosiasi, Kemampuan melakukan observasi, Kemampuan melakukan analisis, Kemampuan meneliti Bagian Penjualan (Sales), Makelar Saham (Broker Saham), Product Manager, Pegawai Asuransi, Bagian Penjualan dan Pelayanan (Customer Service), Bagian Perencanaan dan Pengembangan Real Estate, Agen Properti, Market Researcher, Sales Wedding Organizer, Event Planner/Event Organizer, Digital Marketing, Telemarketer, Wirausaha (Entrepreuner), Aktuaris Beberapa tahun belakangan, Jurusan Bisnis menjadi salah satu jurusan favorit di berbagai kampus di Indonesia. Jurusan ini cocok banget untuk kamu yang memiliki visi menjadi seorang pengusaha muda. Bisnis merupakan bidang ilmu yang mempelajari bagaimana melakukan pemasaran produk, pembukuan dan pengelolaan keuangan serta hal-hal terkait keberlanjutan dari suatu usaha. Bidang ini membantu memahami kebutuhan pelanggan dan mengkomersialisasikannya. Jadi, bisa dibilang bidang ini merupakan kombinasi dari Manajemen dan Akuntansi."
Bisnis Digital,Ekonomi & Bisnis,"Bisnis digital termasuk dalam rumpun ilmu terapan. Pada implementasinya, jurusan ini akan mengajarkan untuk merancang dan menjalankan bisnis yang berbasis digital. Ilmu yang akan diperoleh adalah perpaduan dari manajemen, bisnis, teknik informatika, dan juga sistem informasi. Umumnya, Jurusan Bisnis Digital tersedia pada program D4 atau S1.","Kemampuan manajerial, Kemampuan komunikasi, Kemampuan negosiasi, Kemampuan melakukan observasi, Kemampuan melakukan analisis, Kemampuan meneliti","Bagian Penjualan (Sales), Product Manager, Bagian Penjualan dan Pelayanan (Customer Service), Market Researcher, Dosen, Digital Marketing, Wirausaha (Entrepreuner)",https://campus.quipper.com/majors/id-bisnis-digital,"Bisnis Digital Ekonomi & Bisnis Kemampuan manajerial, Kemampuan komunikasi, Kemampuan negosiasi, Kemampuan melakukan observasi, Kemampuan melakukan analisis, Kemampuan meneliti Bagian Penjualan (Sales), Product Manager, Bagian Penjualan dan Pelayanan (Customer Service), Market Researcher, Dosen, Digital Marketing, Wirausaha (Entrepreuner) Bisnis digital termasuk dalam rumpun ilmu terapan. Pada implementasinya, jurusan ini akan mengajarkan untuk merancang dan menjalankan bisnis yang berbasis digital. Ilmu yang akan diperoleh adalah perpaduan dari manajemen, bisnis, teknik informatika, dan juga sistem informasi. Umumnya, Jurusan Bisnis Digital tersedia pada program D4 atau S1."
Bisnis Kuliner,Ekonomi & Bisnis,"Jurusan Bisnis Kuliner mempelajari implementasi ilmu bisnis di bidang kuliner. Jadi, melalui jurusan ini Quipperian bisa mendalami 2 ilmu sekaligus, bisnis dan kuliner.","Kemampuan menganalisis, Keterampilan komunikasi dan negosiasi, Kemampuan bekerja dalam tim, Kemampuan manajemen waktu, Kemampuan presentasi makanan, Penguasaan observasi","Bagian Penjualan (Sales), Market Researcher, Wirausaha (Entrepreuner), Konsultan Bisnis",https://campus.quipper.com/majors/id-bisnis-kuliner,"Bisnis Kuliner Ekonomi & Bisnis Kemampuan menganalisis, Keterampilan komunikasi dan negosiasi, Kemampuan bekerja dalam tim, Kemampuan manajemen waktu, Kemampuan presentasi makanan, Penguasaan observasi Bagian Penjualan (Sales), Market Researcher, Wirausaha (Entrepreuner), Konsultan Bisnis Jurusan Bisnis Kuliner mempelajari implementasi ilmu bisnis di bidang kuliner. Jadi, melalui jurusan ini Quipperian bisa mendalami 2 ilmu sekaligus, bisnis dan kuliner."
Ekonomi Pembangunan,Ekonomi & Bisnis,"Ekonomi Pembangunan merupakan salah satu cabang ilmu Ekonomi yang khusus mengkaji persoalan-persoalan pembangunan baik itu dari sektor bisnis, keuangan, ataupun perbankan. Dan jika kamu berminat untuk kuliah di jurusan ekonomi pembangunan, kamu akan berkutat dengan analisa berbagai isu perekonomian untuk mencari dan menemukan solusi dari berbagai persoalan ekonomi secara kritis, kreatif, dan inovatif. Menarik banget kan? Di program studi ini, kamu dipersiapkan menjadi perencana bidang pembangunan ekonomi yang tentunya juga turut berperan dalam pembangunan negara dan berkontribusi untuk terciptanya kesejahteraan bersama.","Kemampuan analisis, Kemampuan komunikasi, Kemampuan logika dan matematika dasar, Kemampuan deskripsi, Kemampuan meneliti, Kemampuan berpikir logis dan terstruktur","Pegawai Negeri Sipil (PNS), Akuntan, Trend Analyst, Dosen, Ekonom, Research And Development (RnD), Peneliti, System Analyst, Data Analyst",https://campus.quipper.com/majors/id-ekonomi-pembangunan,"Ekonomi Pembangunan Ekonomi & Bisnis Kemampuan analisis, Kemampuan komunikasi, Kemampuan logika dan matematika dasar, Kemampuan deskripsi, Kemampuan meneliti, Kemampuan berpikir logis dan terstruktur Pegawai Negeri Sipil (PNS), Akuntan, Trend Analyst, Dosen, Ekonom, Research And Development (RnD), Peneliti, System Analyst, Data Analyst Ekonomi Pembangunan merupakan salah satu cabang ilmu Ekonomi yang khusus mengkaji persoalan-persoalan pembangunan baik itu dari sektor bisnis, keuangan, ataupun perbankan. Dan jika kamu berminat untuk kuliah di jurusan ekonomi pembangunan, kamu akan berkutat dengan analisa berbagai isu perekonomian untuk mencari dan menemukan solusi dari berbagai persoalan ekonomi secara kritis, kreatif, dan inovatif. Menarik banget kan? Di program studi ini, kamu dipersiapkan menjadi perencana bidang pembangunan ekonomi yang tentunya juga turut berperan dalam pembangunan negara dan berkontribusi untuk terciptanya kesejahteraan bersama."
Manajemen Keuangan,Ekonomi & Bisnis,"Jurusan Manajemen Keuangan adalah gabungan dari ilmu manajemen dan keuangan atau bisa diartikan sebagai pengaplikasian ilmu manajemen pada bidang keuangan. Pada jurusan ini, kamu akan belajar merencanakan, mengelola hingga menggunakan keuangan perusahaan dengan baik. Kamu juga belajar menganalisis aspek keuangan dan moneter termasuk kinerja perusahaan bisnis, lembaga perbankan, dan organisasi lainnya.","Keterampilan analisis, Kemampuan mengoperasikan software analisis keuangan, Kemampuan berpikir kreatif dan terstruktur, Ketelitian, Kemampuan membuat dan membaca laporan keuangan, Pemahaman matematika dalam analisis keuangan","Makelar Saham (Broker Saham), Pegawai Bank (Account Officer), Akuntan, Konsultan Pajak, Pegawai Asuransi, Wirausaha (Entrepreuner), Bagian Keuangan (Finance), Auditor, Financial Planner",https://campus.quipper.com/majors/id-manajemen-keuangan,"Manajemen Keuangan Ekonomi & Bisnis Keterampilan analisis, Kemampuan mengoperasikan software analisis keuangan, Kemampuan berpikir kreatif dan terstruktur, Ketelitian, Kemampuan membuat dan membaca laporan keuangan, Pemahaman matematika dalam analisis keuangan Makelar Saham (Broker Saham), Pegawai Bank (Account Officer), Akuntan, Konsultan Pajak, Pegawai Asuransi, Wirausaha (Entrepreuner), Bagian Keuangan (Finance), Auditor, Financial Planner Jurusan Manajemen Keuangan adalah gabungan dari ilmu manajemen dan keuangan atau bisa diartikan sebagai pengaplikasian ilmu manajemen pada bidang keuangan. Pada jurusan ini, kamu akan belajar merencanakan, mengelola hingga menggunakan keuangan perusahaan dengan baik. Kamu juga belajar menganalisis aspek keuangan dan moneter termasuk kinerja perusahaan bisnis, lembaga perbankan, dan organisasi lainnya."
Periklanan,Ekonomi & Bisnis,"Jurusan Periklanan atau Advertising adalah bidang keilmuan yang mempelajari bagaimana cara menerapkan strategi kreatif dalam periklanan melalui desain komunikasi visual, animasi, ilustrasi, sketsa serta topografi periklanan.","Detail, kritis, dan rasional, Keterampilan riset dan analisis, Keterampilan komunikasi, Keterampilan interpersonal, Kemampuan memecahkan masalah, Kemampuan bekerja dalam tim, Kemampuan melakukan observasi","Penyiar, Produser TV atau Radio, Fotografer, Content Creator, Influencer, Vlogger",https://campus.quipper.com/majors/id-periklanan-advertising,"Periklanan Ekonomi & Bisnis Detail, kritis, dan rasional, Keterampilan riset dan analisis, Keterampilan komunikasi, Keterampilan interpersonal, Kemampuan memecahkan masalah, Kemampuan bekerja dalam tim, Kemampuan melakukan observasi Penyiar, Produser TV atau Radio, Fotografer, Content Creator, Influencer, Vlogger Jurusan Periklanan atau Advertising adalah bidang keilmuan yang mempelajari bagaimana cara menerapkan strategi kreatif dalam periklanan melalui desain komunikasi visual, animasi, ilustrasi, sketsa serta topografi periklanan."
